,Tweets,Subjectivity,Polarity,Analysis,Facts
0,"Only one makes it through to The Final... who ya got?

Adelaide, you won't wanna miss this! Get your tickets now 🎟… ",1.0,0.0,Neutral,Opinion
1,": Warne won 1 World Cup.
Warner won 2 World Cups.
Looking forward to seeing an Aussie kid named Warnest win 3 World Cups.…",0.4,0.8,Positive,Neutral
2,_cricket: Rohit Sharma moves to Number 13 position in the latest ICC T20I Batting Rankings.,0.9,0.5,Positive,Opinion
3,16 is the number of teams that qualified for the finals of the FIFA World Cup from 1934 through 1978 (although for… ,0.0,0.0,Neutral,Fact
4,A special coaching event organised by  and  held at Rydal Penrhos was hailed as a tremendo… ,0.5714285714285714,0.35714285714285715,Positive,Neutral
5,__hassan: No ICC Cricket World Cup song can beat this. ,0.0,0.0,Neutral,Fact
6,": OTD in 1976.  3-0 . A team full of 1974 World Cup winners, Harold Schumacher &amp; Bundesliga calendar year…",0.55,0.35,Positive,Neutral
7,Abu Dhabi T10 is in full-swing as the greatest go head-to-head to win the ultimate prize. Download Jazz Cricket to… ,0.7999999999999999,0.6,Positive,Opinion
8,Ben Stokes made to wait as rain hits England's Ashes preparations Persistent rain saw play abandoned without a ball… ,0.0,0.0,Neutral,Fact
9,"_Mystical:  I stopped watching these grown children a long time ago. LET ME ASK YOU.. WILL you die if cricket, movies VA…",0.4,-0.05,Negative,Neutral
10,: TRUE✅  contacted Roberto Mancini for the job as new manager. Mancini said NO ❌ he said it is his duty to qualify with…,0.45454545454545453,0.13636363636363635,Positive,Neutral
11,: Thank You Harsha for sharing this beautiful film. Loved the way the struggles and hardships of both the father and daught…,0.9,0.7749999999999999,Positive,Opinion
12,": 🇮🇳 THE GABBA VICTORY
[ A THREAD ]

Australia 🇦🇺 hadn't lost a test match at Gabba since 1988
The main reason, it's pitch,…",0.3333333333333333,0.16666666666666666,Positive,Neutral
13,": Former Indian cricket captain &amp; BJP MP Gautam Gambhir has received death threat from 'ISIS Kashmir'

Why terrorists are plannin…",0.0,0.0,Neutral,Fact
14,The  play Latvia at _official's Keepmoat Stadium on Tuesday 30 November (kick off: 7.00pm) in a FIFA… ,0.0,0.0,Neutral,Fact
15,": International centuries in the last 2 years since 24th November 2019. Cricket

1 - Yasir Shah (15 inns)
0 - Virat Koh…",0.03333333333333333,0.0,Neutral,Fact
16,: Two Norwegian journalists reporting in Qatar arrested — and released 36 hours later — while covering a year to go the World…,0.0,0.0,Neutral,Fact
17,"_althani: Qatar at night is beautiful 🇶🇦

World Cup 2022 in Qatar 🇶🇦 ",1.0,0.85,Positive,Opinion
18,Norway journalists arrested while working in World Cup host Qatar ,0.0,0.0,Neutral,Fact
19,"• Most Runs since 2020
       (Runs/Inn | Avg)     
     
B Azam 🇵🇰     2410 / 54 | 48.20
M Rizwan 🇵🇰 2114 / 55  |… ",0.5,0.5,Positive,Neutral
20,_Germany: Our T20 champions MSC Frankfurt will be representing the DCB at next year’s European Cricket League at  in…,0.0,0.0,Neutral,Fact
21,_cricket: Ajinkya Rahane confirms that Shreyas Iyer will making his Debut for India in Test Cricket on tommorow.,0.0,0.0,Neutral,Fact
22,Who won that series? I guess Pakistan 😏,0.0,0.0,Neutral,Fact
23,": OnThisDay in 2009

Umar Akmal, playing his first Test match, scored a brilliant century (129 off 160 balls) in the fir…",0.6666666666666666,0.575,Positive,Neutral
24,"Let's call this what it is. The top pay-to-play cricketing institutions in the UK. 

It's a garbage system, massive… ",0.5,0.5,Positive,Neutral
25," Why post this same news again and again.
Cricket Australia literally begging for WIPL now",0.125,0.0,Neutral,Fact
26,": 🇮🇳 THE GABBA VICTORY
[ A THREAD ]

Australia 🇦🇺 hadn't lost a test match at Gabba since 1988
The main reason, it's pitch,…",0.3333333333333333,0.16666666666666666,Positive,Neutral
27,_don_: Rohit Sharma moves to 13 rank in icc Men's T20i Ranking ,0.9,-0.8,Negative,Opinion
28,": Foreign LGBT+ football fans ‘will be welcome’ in Qatar for WorldCup, English FA insists. But criticism mounts. Pride f…",0.3416666666666666,0.225,Positive,Neutral
29,Test match starts tomorrowwwww,0.0,0.0,Neutral,Fact
30,_Lage_Tumhe: This stare between Rahul Dravid and Shoaib Akhtar 🔥🥵🥵... Test cricket was at its best ... ,0.3,1.0,Positive,Neutral
31,": Highest % of team runs for India in Tests at Home:-
[min. 1500 runs]

17.4% Rohit Sharma
16.2% Virat Kohli
16.1% Virende…",1.0,-0.75,Negative,Opinion
32,: Babar Azam remains at the top of the T20I Batting Rankings whilst Mohammad Rizwan has moved up to the number 4 positio…,0.5,0.5,Positive,Neutral
33,": ➡️ICC rewarding Virat Kohli with biggest awards: 
ICC Men's Cricketer of the Decade
ICC Men's ODI Cricketer of the Decade…",1.0,0.5,Positive,Opinion
34,": Presenting the most man of the series awards won in T20Is in a calendar year 🙌

Mohammad Rizwan's tally of 3️⃣ awards in 2021…",0.5,0.5,Positive,Neutral
35,": Stereo Hearts × Virat Kohli

Back to old times....
My hearts a stereo
It beats for you, so listen close
Virat Kohli as a capt…",0.1,0.05,Positive,Fact
36,_venkat: Rohit Sharma to be blamed for this for not winning IPL this year! Thst prize money would hv helped Ambani..,0.75,-0.3125,Negative,Opinion
37,  congrats on winning the T20 WC 2021 in one match.... ola hu ubar,0.75,0.5,Positive,Opinion
38,South Africa A 488/7 * v India A Cricket,0.0,0.0,Neutral,Fact
39,Thank God you knocked 20 balls off the short format of the game and have a shitty local Radio DJ at Hundred matches… ,0.2333333333333333,-0.13333333333333333,Negative,Fact
40,"Backbone of Pakistan cricket 🇵🇰
BabarAzam PAKvBAN ",0.0,0.0,Neutral,Fact
41,"_00__0: Wow 😱 introducing the world's most powerful male Ejaculator ♨️ 

👌Relex your hand ...
👌 Feeling amazing must try once get d…",0.7,0.3,Positive,Neutral
42,": Expected, was never leaving the European Champions 12 months before a World Cup! mufc",0.2,-0.05,Negative,Fact
43,    7-0 in world cup 😂,0.0,0.0,Neutral,Fact
44,"Theguardian:  Norwegian journalists reporting on World Cup workers arrested in Qatar
qatar football sport
 ",0.0,0.0,Neutral,Fact
45,": Highest Test Average at Home:-
[min. 1500 runs]

98.2: Don Bradman
79.5: Rohit Sharma

RohitSharma INDvNZ",0.7,-0.45,Negative,Neutral
46,": Kanpur's Green Park had the unique distinction of
hosting - India's 500th Test match on 22-26 Sept 2016 (against New Zea…",0.5848484848484848,0.10378787878787878,Positive,Neutral
47,If true this needs investigation.,0.65,0.35,Positive,Neutral
48,": Looking sharp! 💥

Pakistan cricket team preparations are underway as the national team prepares for the first Test mat…",0.5416666666666666,0.046875,Positive,Neutral
49,: Mohammad Rizwan and his beloved pillow arrived earlier in Chattogram BANvPAK Cricket ,0.75,0.35,Positive,Opinion
50,Reliance to own a team in UAE-based T20 league ,1.0,0.6,Positive,Opinion
51,": As India begin their title defence at Jr Hockey World Cup, we speak to yesteryear stars &amp; 2001 winners …",0.0,0.0,Neutral,Fact
52,"_vohra Totally agreed, players should rest for T20’s rather than the Tests. Test is the best format of Cricket.",0.525,0.5,Positive,Neutral
53,": Lost against Australia (2017) ❌
Lost against England (2021) ❌

Team India has lost only 2 out of 30 Tests at home in Virat…",1.0,0.0,Neutral,Opinion
54,": Chase is clean bowled by Embuldeniya, Sri Lanka on top!

West Indies - 15/4 in the 11th over..  SLvWI

",0.6000000000000001,0.49583333333333335,Positive,Neutral
55,": INDvNZ 

Shreyas Iyer to make debut, spinners hold key

Check TeamIndia's predicted XI for the 1st Test against New Zea…",0.7272727272727273,0.06818181818181818,Positive,Neutral
56,  No Sir it's not reminding GRV is part of Indian Cricket folklore his style of batting gen… ,0.0,0.0,Neutral,Fact
57,": Kanpur's Green Park had the unique distinction of
hosting - India's 500th Test match on 22-26 Sept 2016 (against New Zea…",0.5848484848484848,0.10378787878787878,Positive,Neutral
58,"AjinkyaRahane was not amused with questions related to his poor form, insisting that concerns about his lean patch… ",0.5,-0.2,Negative,Neutral
59,": Former Indian cricket captain &amp; BJP MP Gautam Gambhir has received death threat from 'ISIS Kashmir'

Why terrorists are plannin…",0.0,0.0,Neutral,Fact
60,"Windies is very near to break the Indian record of 36 all-out.
Very bad news for India 😱
SLvWI cricket ",0.6933333333333334,-0.3899999999999999,Negative,Neutral
61,": A very beautiful young lady
A rapper
A model
A dancer
A world cup
Art
A singer
SASKAY DUBAI TAKEOVER ",0.7,0.55,Positive,Neutral
62,: Test cricket is back in India from tomorrow - they will be playing 4 home Tests this season - 2 against New Zealand and…,0.22727272727272727,0.06818181818181818,Positive,Fact
63, Imagine Italy are not in the World Cup 🤣🤣,0.0,0.0,Neutral,Fact
64,": Want Virat Kohli to play 5-6 years more and break Sachin tendulkar's record of 100 centuries, if this doesn't happens the…",0.5,0.5,Positive,Neutral
65,  _shayan_7 _Sayss  There is huge fanbase of football in india and you wil… ,0.9,0.4000000000000001,Positive,Opinion
66," Sir please support cricket team also 🙏
They don't have a proper ground and also not getting any fund fro… ",0.1,0.0,Neutral,Fact
67,": Rohit Sharma has been playing more attacking shots in 2021 than in the last two years, and the rewards have been worth th…",0.2222222222222222,0.26666666666666666,Positive,Fact
68,": Monmouth School for Boys is among the best in the country for its cricket coaching, facilities and provision. 
We are del…",0.3,1.0,Positive,Neutral
69,"Rohit Sharma () and RahulDravid have formed a leadership team that is unassuming, but their tactics are agg… ",0.0,0.0,Neutral,Fact
70,"If Qatar’s non-commercial plans are achieved, it will then surely aim to become a regular major player in the sport… ",0.48860398860398857,0.1875,Positive,Neutral
71,"Did you know,  provide opportunities to female athletes for not only AFL  but also Soccer, Cricket &amp;… ",0.5833333333333334,0.0,Neutral,Neutral
72,There’ll be a few of the  family in attendance on  Saturday to cheer on the  as they tak… ,0.1,-0.2,Negative,Fact
73,"   India wants to see dawood ibrahim watching cricket match in Dubai, Vijay ma… ",0.1,0.2,Positive,Fact
74,"With much excitement and energy, the teams of Karnataka, Odisha, Andhra Pradesh &amp; Haryana reached the semi-finals.… ",0.2,0.2,Positive,Fact
75,_se_hai: Dear    either ensure transparency in selection in Bihar cricket or ban them again. It’s sad to see and…,1.0,-0.5,Negative,Opinion
76, With due respect I believe you’re underestimating Kane and his team.. it’s going to be very difficul… ,0.3375,0.037500000000000006,Positive,Neutral
77,": Most goals scored at a single U-17 World Cup tournament:

◉ 10 - Victor Osimhen (2015)
◎ 9 - Florent Sinama Pongolle (2001)
◎…",0.35714285714285715,0.2142857142857143,Positive,Neutral
78,Playing 11 complete 🥳🥰,0.4,0.1,Positive,Neutral
79,"__johnson: Tory Winter Ball:

Cricket with Rishi Sunak auctioned for £35k 

Karaoke with Liz Truss went for £22k

-And then Ministe…",0.0,0.0,Neutral,Fact
80, _robin I couldn’t agree more Nick and hate to see that it is now widespread in village cricket bu… ,0.7,-0.15000000000000002,Negative,Neutral
81,Is cya ne apna comment section disable kar rakha h varna log iski itna marte ise Alexandar the Great(history) bana… ,0.0,0.0,Neutral,Fact
82,": Former Indian cricket captain &amp; BJP MP Gautam Gambhir has received death threat from 'ISIS Kashmir'

Why terrorists are plannin…",0.0,0.0,Neutral,Fact
83,": Last night 2 Tory donors paid:

£35k to play cricket with Rishi Sunak

£22k to sing Karaoke with Liz Truss

Oh, the phil…",0.06666666666666667,0.0,Neutral,Fact
84,": ➡️ICC rewarding Virat Kohli with biggest awards: 
ICC Men's Cricketer of the Decade
ICC Men's ODI Cricketer of the Decade…",1.0,0.5,Positive,Opinion
85,"_femi Whoever you choose doesn't matter
We all know who's gonna be playing for   at the world cup😂",0.0,0.0,Neutral,Fact
86, _78      It's a start.  It looks like Sky… ,0.0,0.0,Neutral,Fact
87,": Highest Test Average at Home:-
[min. 1500 runs]

98.2: Don Bradman
79.5: Rohit Sharma

RohitSharma INDvNZ",0.7,-0.45,Negative,Neutral
88,": The RBI is batting like Rohit Sharma &amp; Virat Kohli, bowling like Jasprit Bumrah &amp; Mohammed Shami together and fielding li…",0.0,0.0,Neutral,Fact
89,_cricket: Shreyas Iyer will become India's 303rd Cricketer to make debut In Test Cricket on tommorow.,0.0,0.0,Neutral,Fact
90,Tim Paine backed to 'show leadership in many different ways' t20 india T20WorldCup Cricket ind ,0.55,0.25,Positive,Neutral
91,": Unreal bc 🤦‍♂️🤦‍♂️🤦‍♂️
This video is of WC 2019 India vs England match where Rohit scored 100 and Virat was the captain .…",0.0,0.0,Neutral,Fact
92,"SL vs WI 1st Test at Galle | Update | Day 4 - Stump
 
Sri Lanka needs just four more wickets to win the 1st Test ma… ",0.45,0.65,Positive,Neutral
93,Qatar used ex-CIA officer to spy on FIFA as it bid to host soccer World Cup ,0.0,0.0,Neutral,Fact
94, I  hope you intend to BoycottQatar2022  they are using slave labour to build the stadiums… ,0.0,0.0,Neutral,Fact
95,: 🇳🇱 Mathieu van der Poel and 🇧🇪 Wout van Aert will meet each other in 5 cyclocross races before the National Championships…,0.375,-0.125,Negative,Neutral
96,: Rohit Sharma moves to number 13 in the ICC T20 batsman ranking.,0.0,0.0,Neutral,Fact
97,: Goosebumps 🔥. National Anthem 🇮🇳 in an inauguration of Cricket Tournament that too in Kashmir. This feeling is somethin…,0.0,0.0,Neutral,Fact
98,"_Lad: If Otamendi pulls up like this to Qatar, then Messi is winning the world cup",0.75,0.5,Positive,Opinion
99,: Two Norwegian journalists reporting in Qatar arrested — and released 36 hours later — while covering a year to go the World…,0.0,0.0,Neutral,Fact
100,": Never been a Bollywood fan, but  's movies are always top notch. Trialer looks awesome (ᗒᗩᗕ) , Really rea…",0.5666666666666667,0.5666666666666667,Positive,Neutral
101,: A Presidential Advisor who has no advice and obviously no hope of ever advising the President can easily get 1 billion…,0.6666666666666667,0.21666666666666667,Positive,Neutral
